	An. coluzzii_F	An. coluzzii_M	An. gambiae_F	An. gambiae_M	Unknown_F	AOcol_F	BFcol_F	BFcol_M	BFgam_F	BFgam_M	CIcol_F	CMgam_F	CMgam_M	FRgam_F	FRgam_M	GAgam_F	GHcol_F	GHgam_F	GM_F	GNcol_F	GNgam_F	GQgam_F	GW_F	KE_F	UGgam_F
67219	0.00401983349136433	0.0027166666666666676	0.009153094851290148	0.009247944819391467	0.006564718233357363	0.0049391225441225515	0.0034482275941977486	0.0027166666666666676	0.009139044943007567	0.00929818333333318	0.0037296312048176235	0.009259137904739909	0.009239944503171064	0.009258901515151515	0.009173916666666662	0.009144993860933386	0.003529622105407787	0.009255833333333303	0.00849259422880003	0.0036875	0.009163583333333537	0.009029166666666621	0.008603870735355172	0.003204228830645156	0.009150931814022724
188964	0.003978957298483922	0.003685000000000008	0.006249830681985962	0.006314606318706037	0.00497406701116977	0.004283139068808106	0.0036916911189359813	0.003685000000000008	0.0061596291270918195	0.006301774999999872	0.004058194875133165	0.006257877960814434	0.006248774916943326	0.006474242424242424	0.0065817500000000025	0.006319308397272088	0.003680993978243966	0.006160416666666723	0.006301942246368011	0.003045	0.006172458333333282	0.005921666666666596	0.006238617967515276	0.0027359656531531487	0.0062524247440864725
297906	0.007323685312882726	0.00583833333333339	0.007258236083602059	0.007225286135160912	0.0066952828709609955	0.007696737451145404	0.006949739785330685	0.00583833333333339	0.007287323609226337	0.007243999999999786	0.007264552108839468	0.007274234424995842	0.007354772727272465	0.006993958333333348	0.006713750000000001	0.006690535243741928	0.007334745791245591	0.007215454545454483	0.008069531011831116	0.0068125	0.0072598846153847235	0.007353888888888761	0.008171533114185186	0.0041670223847518175	0.007045196669884348
412962	0.007134495823978268	0.007113333333333279	0.0113780394846851	0.0115116124404209	0.008870569542124337	0.007316108181856887	0.007218935028043023	0.007113333333333279	0.011456835142468941	0.01143294999999964	0.007096710822908555	0.011484632113399564	0.011496136363636012	0.011631416666666648	0.011731893939393926	0.011579526654801098	0.0066155140507638726	0.011631249999999892	0.011138140973945592	0.00712	0.011492333333333729	0.011066666666666475	0.010460795695296763	0.004970244680851067	0.011449201351104537
525615	0.008559486860879373	0.008444999999999966	0.010820105073919601	0.010780698083529376	0.008974809746668469	0.008732425504290065	0.008593653847924676	0.008444999999999966	0.010839946974588602	0.010680580303029744	0.008553361385705758	0.010863337161365864	0.010826632311486286	0.010826249999999983	0.010820000000000014	0.011019175915757328	0.00812639730639703	0.010755909090908825	0.01065110563762426	0.00907375	0.010818977412129309	0.010690555555555318	0.010368917711920753	0.006136717037395238	0.010827556624598915
634021	0.010955966354323048	0.01087999999999991	0.012270785875673339	0.012326202424233977	0.010301848148152085	0.011507857489732612	0.011034943745809	0.01087999999999991	0.01238720314674337	0.012373418115941271	0.010798311174741143	0.012381061612633215	0.0123631586630415	0.011868749999999945	0.012095931818181709	0.012234716024021477	0.010313655797207279	0.012369999999999636	0.011815694311955281	0.010416666666666668	0.012554199757450547	0.012137847222221883	0.011557382811653843	0.007583111648124051	0.012349224335523202
745829	0.013265320038745402	0.013461666666666532	0.013863436821600947	0.01390353135727892	0.012299826417912947	0.013288679557766102	0.013330540307275209	0.013461666666666532	0.013871553595656725	0.013928033333332434	0.013186440431163678	0.013800718647167733	0.013829791477901301	0.014238044191919118	0.01412555916305916	0.014169622138853429	0.013189182104058913	0.013775113636363445	0.013895830290298025	0.01349125	0.013783628205129121	0.013714454365079126	0.013830300944560597	0.009429452066491824	0.01384152162308532
858215	0.014578737285487732	0.014131666666666553	0.014830513118292761	0.014712320349467001	0.013321532174702617	0.014540486789526305	0.014471552925038749	0.014131666666666553	0.01474290253278901	0.01474014492753528	0.014603413538349224	0.014797899368845454	0.014783549089877574	0.014573032467532556	0.014392205808080871	0.014978449930394338	0.014725251648934052	0.014898181818181661	0.014879074838708848	0.014503333333333335	0.014804649460190191	0.015021458333333172	0.014890417011839359	0.01050420805542262	0.01483900906311743
972700	0.014350641990592267	0.014502499999999877	0.015057691406142317	0.0151334892301996	0.013068622508304577	0.014324066135792363	0.01436429282579623	0.014502499999999877	0.015028682722748203	0.014956999999998923	0.014458420840842078	0.015070699684244475	0.015060993657504755	0.015793700937950905	0.015769087121212083	0.014957213987078014	0.014181414714664761	0.015087651515151394	0.015023317987787008	0.014491666666666665	0.01501837820512941	0.014940664682539448	0.015033697492829325	0.009421093798049462	0.015099661500362786
1088926	0.014824913240613411	0.015124999999999889	0.015442399203604027	0.01550265419577452	0.013399475550866118	0.015000903488723544	0.015014692711827139	0.015124999999999889	0.015452439820542634	0.015400333333332341	0.01468947777972258	0.015441357516976159	0.01543597100573829	0.01584245652958154	0.01596302777777788	0.015524921180095283	0.014453710088303744	0.015485575757575684	0.015155919130077902	0.015182916666666667	0.015452481106613885	0.015431388888888724	0.015125518614014876	0.010204339747550865	0.015531551451204904
